TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Aug 17, 2026 6:58:40 PM",corp-na01-bp123na,root,202.189.4.123,LogonFailure,2026-08-18T00:58:40.276887Z    94 Connect Access denied for user 'root'@'202.189.4.123' (using password: NO)
"Aug 17, 2026 5:52:58 PM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-17T23:52:58.074630Z    87 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 5:52:57 PM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-17T23:52:57.510269Z    86 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 5:52:56 PM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-17T23:52:56.828085Z    85 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 4:32:38 PM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-17T22:32:38.155832Z    71 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 4:32:37 PM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-17T22:32:36.943067Z    69 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 4:32:37 PM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-17T22:32:37.600225Z    70 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 3:12:42 PM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-17T21:12:42.187423Z    62 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 3:12:41 PM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-17T21:12:41.639842Z    61 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 3:12:40 PM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-17T21:12:40.958335Z    60 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 2:36:30 PM",corp-na01-bp123na,root,vmi3498073.contaboserver.net,LogonFailure,2026-08-17T20:36:30.431978Z    58 Connect Access denied for user 'root'@'vmi3498073.contaboserver.net' (using password: NO)
"Aug 17, 2026 2:21:50 PM",corp-na01-bp123na,root,34.38.245.25,LogonFailure,2026-08-17T20:21:50.016811Z    56 Connect Access denied for user 'root'@'34.38.245.25' (using password: NO)
"Aug 17, 2026 2:17:21 PM",corp-na01-bp123na,root,77.90.185.21,LogonSuccess,2026-08-17T20:17:21.598112Z    54 Connect root@77.90.185.21 on  using SSL/TLS
"Aug 17, 2026 2:17:21 PM",corp-na01-bp123na,sa,77.90.185.21,LogonFailure,2026-08-17T20:17:21.034935Z    53 Connect Access denied for user 'sa'@'77.90.185.21' (using password: NO)
"Aug 17, 2026 2:17:20 PM",corp-na01-bp123na,admin,77.90.185.21,LogonFailure,2026-08-17T20:17:20.471772Z    52 Connect Access denied for user 'admin'@'77.90.185.21' (using password: NO)
"Aug 17, 2026 2:17:19 PM",corp-na01-bp123na,root,77.90.185.21,LogonFailure,2026-08-17T20:17:19.812867Z    51 Connect Access denied for user 'root'@'77.90.185.21' (using password: NO)
"Aug 17, 2026 1:52:30 PM",corp-na01-bp123na,root,77.90.185.30,LogonSuccess,2026-08-17T19:52:30.354005Z    34 Connect root@77.90.185.30 on  using SSL/TLS
"Aug 17, 2026 1:52:29 PM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-17T19:52:29.799998Z    33 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 1:52:29 PM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-17T19:52:29.235675Z    32 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 1:52:28 PM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-17T19:52:28.569125Z    31 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 1:05:24 PM",corp-na01-bp123na,sa,213.209.159.115,LogonFailure,2026-08-17T19:05:24.280284Z    23 Connect Access denied for user 'sa'@'213.209.159.115' (using password: NO)
"Aug 17, 2026 1:05:23 PM",corp-na01-bp123na,admin,213.209.159.115,LogonFailure,2026-08-17T19:05:23.811360Z    22 Connect Access denied for user 'admin'@'213.209.159.115' (using password: NO)
"Aug 17, 2026 1:05:23 PM",corp-na01-bp123na,root,213.209.159.115,LogonFailure,2026-08-17T19:05:23.259576Z    21 Connect Access denied for user 'root'@'213.209.159.115' (using password: NO)
"Aug 17, 2026 12:51:16 PM",corp-na01-bp123na,root,64.89.163.154,LogonSuccess,2026-08-17T18:51:16.596623Z    19 Connect root@64.89.163.154 on  using TCP/IP
"Aug 17, 2026 12:32:31 PM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-17T18:32:31.048880Z    17 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 12:32:30 PM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-17T18:32:30.493579Z    16 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 12:32:29 PM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-17T18:32:29.808630Z    15 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 11:12:32 AM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-17T17:12:31.850092Z    11 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 11:12:32 AM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-17T17:12:32.419999Z    12 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 11:12:31 AM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-17T17:12:31.163327Z    10 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 1:51:28 AM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-17T07:51:28.412652Z   198 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 1:51:28 AM",corp-na01-bp123na,root,77.90.185.30,LogonSuccess,2026-08-17T07:51:28.958396Z   199 Connect root@77.90.185.30 on  using SSL/TLS
